Qty,Part Name,Unit Price,Extended,Link
3,1uF 0402 Capacitor,$0.25,$0.75,https://www.digikey.com/en/products/detail/yageo/CC0402KRX5R8BB105/5195107
1,10uF 0603 Capacitor,$0.39,$0.39,https://www.digikey.com/en/products/detail/yageo/CC0603MRX5R7BB106/5195229
2,1uF 0603 Capacitor,$0.25,$0.50,https://www.digikey.com/en/products/detail/yageo/CC0402KRX5R8BB105/5195107
1,100nF 0504 Capacitor,$1.52,$1.52,https://www.digikey.com/en/products/detail/knowles-novacap/0504X103K500PX/7798547
2,SK6812MINI LED,$0.50,$1.00,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2686/5804107
1,500mA 1206 Fuse,n/a,n/a,n/a
1,4-Pin Header 2.54mm,n/a,n/a,n/a
1,USB-C Receptacle 16-Pin,$2.68,$2.68,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/CX90BW-16P1/22565305
2,22立 0201 Resistor,n/a,n/a,n/a
2,5.1k立 0201 Resistor,n/a,n/a,n/a
4,4.7k立 0402 Resistor,n/a,n/a,n/a
1,10k立 0603 Resistor,n/a,n/a,n/a
1,STM32L432KBUx Microcontroller,$4.19,$4.19,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32L432KBU6/6132748
1,ATECC608A-MAHDA Auth Chip,$0.97,$0.97,https://www.digikey.com/en/products/detail/microchip-technology/ATECC608A-MAHDA-T/7928114
1,USBLC6-2SC6 ESD Protection,$0.36,$0.36,https://www.digikey.com/en/products/detail/stmicroelectronics/USBLC6-2SC6/1040559
1,TLV75533PDBV Voltage Regulator,$0.36,$0.36,https://www.digikey.com/en/products/detail/texas-instruments/TLV75533PDBVR/9356541
1,Solder Paste,$10.00,$10.00,https://www.amazon.com/Wonderway-Soldering-Electronics-CELLPHONE-Repairing/dp/B0BH4HRWGX
1,PCB Fabrication,$40.00,$40.00,n/a
,,,TOTAL,$62.72
